Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Result = verifyMatch(title, ""CURA Healthcare Service"", false)",Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:31,0.009s,PASSED
if (Result == true),Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:31,0.007s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:31,0.314s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:31,0.007s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logout_004,Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:44,13.037s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 19:20:31,30-01-2024 19:20:38,7.251s,ERROR
"callTestCase(findTestCase(""Test Cases/TC_CURA_Login_001""), [""UserName"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,30-01-2024 19:20:38,30-01-2024 19:20:42,3.196s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CURA_Logout/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,30-01-2024 19:20:42,30-01-2024 19:20:42,0.517s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CURA_Logout/Page_CURA Healthcare Service/a_Logout""))",Chrome 120.0.0.0,,,30-01-2024 19:20:42,30-01-2024 19:20:43,1.056s,PASSED
"res = verifyTextPresent(""CURA Healthcare Service"", false)",Chrome 120.0.0.0,,,30-01-2024 19:20:43,30-01-2024 19:20:43,0.293s,PASSED
if (res == true),Chrome 120.0.0.0,,,30-01-2024 19:20:43,30-01-2024 19:20:43,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 19:20:43,30-01-2024 19:20:44,0.553s,PASSED
,,,,,,,
Test Cases/TC_CURA_History_005,Chrome 120.0.0.0,,,30-01-2024 19:20:44,30-01-2024 19:21:07,22.623s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 19:20:44,30-01-2024 19:20:56,11.776s,ERROR
"callTestCase(findTestCase(""Test Cases/TC_CURA_Login_001""), [""UserName"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,30-01-2024 19:20:56,30-01-2024 19:21:01,5.261s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,30-01-2024 19:21:01,30-01-2024 19:21:02,1.028s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,30-01-2024 19:21:02,30-01-2024 19:21:02,0.340s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,30-01-2024 19:21:02,30-01-2024 19:21:03,0.367s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/td_18""))",Chrome 120.0.0.0,,,30-01-2024 19:21:03,30-01-2024 19:21:03,0.530s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,30-01-2024 19:21:03,30-01-2024 19:21:04,0.898s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,30-01-2024 19:21:04,30-01-2024 19:21:05,0.433s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/a_History""))",Chrome 120.0.0.0,,,30-01-2024 19:21:05,30-01-2024 19:21:06,0.878s,PASSED
"click(findTestObject(""Object Repository/Cura_MakeAppointment/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 120.0.0.0,,,30-01-2024 19:21:06,30-01-2024 19:21:06,0.766s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 19:21:06,30-01-2024 19:21:07,0.258s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 19:21:07,30-01-2024 19:21:07,0.007s,PASSED
